b_eta_lead,h_l_pt,h_lbar_pt,h_l_pt_lead,h_l_pt_trail,h_l_eta,h_lbar_eta,h_l_eta_lead,h_l_eta_trail,h_ll_pt,h_ll_m,h_l_abs_diff_phi,h_l_diff_abs_eta,h_b_pt_lead,h_b_pt_trail,h_b_eta_lead,h_b_eta_trail,h_bb_pt,h_bb_m,
1.21596,165.715,93.6769,165.715,93.6769,-0.830079,1.24934,-0.830079,1.24934,131.668,380.825,4.05789,-0.419265,68.8355,47.1425,1.21596,-1.08862,61.4525,190.489,
-1.63115,36.4662,170.435,170.435,36.4662,-1.81881,1.68044,1.68044,-1.81881,137.009,466.324,2.7755,0.13837,153.586,151.239,-1.63115,0.966466,110.209,591.846,
-1.40226,69.583,61.9355,69.583,61.9355,0.582534,-0.911832,0.582534,-0.911832,11.8288,169.443,3.00402,-0.329298,180.617,179.244,-1.40226,0.657766,44.6644,566.972,
-1.76951,105.181,118.212,118.212,105.181,-2.15331,1.02763,1.02763,-2.15331,124.873,556.084,1.96035,1.12568,167.373,97.7795,-1.76951,0.998226,219.601,501.571,
0.723844,160.628,65.1201,160.628,65.1201,0.590205,-1.31272,0.590205,-1.31272,101.179,302.498,2.81359,-0.722515,644.348,149.966,0.723844,-0.353521,789.059,367.767,
-1.08347,38.37,77.4841,77.4841,38.37,-0.573366,0.74755,0.74755,-0.573366,54.5398,128.197,2.42957,-0.174184,311.315,31.2269,-1.08347,1.7116,303.926,407.785,
-2.19933,175.248,93.654,175.248,93.654,0.965463,-2.44928,0.965463,-2.44928,126.831,723.209,3.91896,-1.48382,106.066,71.3086,-2.19933,-0.0190438,60.2981,285.572,
-1.78077,88.8269,83.8997,88.8269,83.8997,-2.14017,2.06131,-2.14017,2.06131,97.0487,709.467,4.33367,0.0788648,138.563,97.9963,-1.78077,1.18934,112.88,531.767,
-0.861316,104.972,283.107,283.107,104.972,-0.387641,0.46506,0.46506,-0.387641,205.462,362.409,2.53859,-0.0774184,441.55,227.167,-0.861316,1.29306,395.592,986.31,
-0.694913,152.931,71.179,152.931,71.179,-1.58064,1.20442,-1.58064,1.20442,105.521,440.846,2.4907,0.376214,40.3816,32.2856,-0.694913,1.39884,69.6185,93.482,
0.0335634,87.1632,212.099,212.099,87.1632,-0.409499,0.724906,0.724906,-0.409499,128.533,315.422,2.91904,-0.315407,753.407,161.918,0.0335634,0.202471,594.757,711.297,
-0.238119,254.108,177.804,254.108,177.804,0.647096,-2.33526,0.647096,-2.33526,85.9722,991.314,3.32821,-1.68817,53.6834,47.4517,-0.238119,-1.95762,39.9794,136.334,
